,0
0,0.35194578766822815
1,0.24466116726398468
2,0.3509994447231293
3,0.14319142699241638
4,0.23874755203723907
5,0.09678751230239868
6,0.20385265350341797
7,0.11932144314050674
8,0.19372041523456573
9,0.14682291448116302
10,0.11092138290405273
11,0.18770408630371094
12,0.12475764751434326
13,0.09229724854230881
14,0.1711522340774536
15,0.08211690187454224
16,0.07528633624315262
17,0.10773098468780518
18,0.17044265568256378
19,0.10304182767868042
20,0.0660814419388771
21,0.07194653153419495
22,0.05842195823788643
23,0.058412689715623856
24,0.182838574051857
25,0.10508477687835693
26,0.03436467424035072
27,0.10935235023498535
28,0.04088233783841133
29,0.040413934737443924
30,0.10702113062143326
31,0.037968266755342484
32,0.043116018176078796
33,0.038222312927246094
34,0.04326252266764641
35,0.034994352608919144
36,0.029553139582276344
37,0.03538215532898903
38,0.03148607909679413
39,0.02759014070034027
40,0.032464295625686646
41,0.02592708170413971
42,0.02764686942100525
43,0.022319050505757332
44,0.02382844127714634
45,0.014602583833038807
46,0.031131818890571594
47,0.023489126935601234
48,0.0179726704955101
49,0.017293058335781097
50,0.01421535387635231
51,0.018188774585723877
52,0.016127975657582283
53,0.026465147733688354
54,0.016526447609066963
55,0.009067648090422153
56,0.018390972167253494
57,0.012791335582733154
58,0.01198203768581152
59,0.01175785530358553
60,0.01471653301268816
61,0.009053955785930157
62,0.012608599849045277
63,0.013120804913341999
64,0.012248734943568707
65,0.013491697609424591
66,0.014175052754580975
67,0.012584959156811237
68,0.017383256927132607
69,0.011075199581682682
70,0.014670048840343952
71,0.008316945284605026
72,0.011500517837703228
73,0.007056431379169226
74,0.012130320072174072
75,0.00835155788809061
76,0.011619566939771175
77,0.010883361101150513
78,0.00851387158036232
79,0.010944835841655731
80,0.005154728889465332
81,0.007913506589829922
82,0.0108572943136096
83,0.00868926476687193
84,0.007876146584749222
85,0.01106298342347145
86,0.006391020026057959
87,0.007889876142144203
88,0.013839039020240307
89,0.010674930177628994
90,0.007948096841573715
91,0.007619207259267569
92,0.004821223206818104
93,0.009151233360171318
94,0.008509255945682526
95,0.007578087504953146
96,0.011968155391514301
97,0.007919467985630035
98,0.004799478221684694
99,0.00534488121047616
100,0.004114385228604078
101,0.007524225860834122
102,0.008442198857665062
103,0.006928253918886185
104,0.005831385031342506
105,0.007307903375476599
106,0.00770372012630105
107,0.009222358465194702
108,0.004384296014904976
109,0.006488770246505737
110,0.007114529609680176
111,0.006347831338644028
112,0.006594179663807154
113,0.005697290878742933
114,0.008707801811397076
115,0.00931714940816164
116,0.006370003800839186
117,0.004266967996954918
118,0.004200719762593508
